PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	8.1	0.29	0.75	4.9	2.4	0.18	0.06	0.22
Morgan Burnett	GB	7.7	0.2	0.52	5.5	2.4	0.08	0.18	0.23
Antoine Winfield	MIN	7.6	0.08	0.21	5.9	3.5	0.15	0.05	0.31
Quintin Mikell	STL	7.2	0.15	0.51	4.8	1.4	0.12	0.15	0.44
Tyvon Branch	OAK	6.6	0.06	0.22	5.6	2.2	0.09	0.13	0.06
Charles Tillman	CHI	6.5	0.12	0.47	4.6	1.8	0.04	0.16	0.26
Tramon Williams	GB	6.5	0.28	1.04	4.1	1.8	0.02	0.17	0.03
DeAngelo Hall	WAS	6.4	0.33	0.83	4.1	2.9	0.04	0.04	0.13
Roman Harper	NO	6.2	0.01	0.26	4.2	1.7	0.4	0.08	0.23
Jason McCourty	TEN	6.1	0.09	0.57	5.4	2.2	0.03	0.04	0.07
Kerry Rhodes	ARI	6	0.12	0.48	3.6	1.2	0.4	0.2	0.01
Richard Marshall	MIA	6	0.27	0.66	4.1	1.5	0.15	0.03	0.05
Eric Weddle	SD	6	0.25	0.58	4.6	1.7	0	0.02	0.01
Tracy Porter	DEN	6	0.11	0.46	4.4	1.7	0	0.27	0.16
Patrick Peterson	ARI	6	0.18	0.66	3.2	1	0.11	0.06	0.02
Marcus Trufant	SEA	5.9	0.13	0.59	4.2	2	0	0.18	0.06
Bernard Pollard	BAL	5.9	0.04	0.68	3.7	1.9	0.33	0.03	0.25
LaRon Landry	NYJ	5.9	0.04	0.39	4.3	2	0.2	0.14	0.16
Greg Toler	ARI	5.9	0.12	0.58	4	1.3	0.1	0.1	0.2
Eric Berry	KC	5.9	0.24	0.7	3.7	1.8	0.08	0.01	0.1
Ronde Barber	TB	5.8	0.17	0.61	4.1	1.3	0.14	0.1	0.07
Antrel Rolle	NYG	5.7	0.11	0.23	4.9	2.2	0.01	0.05	0.08
Charles Godfrey	CAR	5.7	0.15	0.45	4.6	2.3	0.05	0.01	0.13
Yeremiah Bell	NYJ	5.6	0.05	0.34	4.2	1.9	0.17	0.1	0.12
Dashon Goldson	SF	5.5	0.24	0.51	3.9	1.3	0.02	0.08	0.09
