PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	7.7	0.23	0.73	4.7	1.8	0.28	0.05	0.25
Morgan Burnett	GB	7.2	0.2	0.6	4.7	1.9	0.17	0.17	0.23
Quintin Mikell	STL	7	0.21	0.63	4.2	1.3	0.14	0.16	0.44
Antoine Winfield	MIN	6.7	0.11	0.28	5.2	3.3	0.17	0.02	0.2
Eric Weddle	SD	6.7	0.31	0.48	5.1	1.9	0	0.01	0.01
Charles Tillman	CHI	6.5	0.11	0.55	4.3	1.7	0.05	0.2	0.35
Greg Toler	ARI	6.5	0.04	0.45	4.8	1.8	0.13	0.1	0.33
Jason McCourty	TEN	6.3	0.19	0.89	4.8	1.9	0.09	0.06	0.08
Richard Marshall	MIA	6.2	0.2	0.58	4.8	1.8	0.07	0.02	0.04
Tramon Williams	GB	6.2	0.27	1	3.6	1.5	0.04	0.19	0.04
LaRon Landry	NYJ	6.2	0.05	0.35	5	2.4	0.1	0.12	0.13
Tracy Porter	DEN	6	0.05	0.4	4.7	2.1	0	0.26	0.15
Roman Harper	NO	5.9	0.03	0.41	4	1.8	0.29	0.09	0.28
Yeremiah Bell	NYJ	5.8	0.05	0.34	4.7	2.1	0.1	0.1	0.12
Kerry Rhodes	ARI	5.8	0.07	0.52	3.7	1.3	0.34	0.24	0.01
Dashon Goldson	SF	5.8	0.37	0.52	3.6	1	0.01	0.07	0.06
Charles Godfrey	CAR	5.8	0.17	0.39	4.3	2.1	0.08	0.01	0.16
Troy Polamalu	PIT	5.7	0.23	0.84	3.8	2.2	0.06	0.12	0.03
Bernard Pollard	BAL	5.7	0.04	0.61	4	2.3	0.17	0.04	0.24
Marcus Trufant	SEA	5.6	0.16	0.53	4	1.9	0	0.12	0.04
Thomas DeCoud	ATL	5.5	0.18	0.3	4.4	2.3	0	0.02	0.06
Eric Berry	KC	5.5	0.17	0.75	3.7	1.9	0.1	0.02	0.12
Patrick Peterson	ARI	5.5	0.09	0.62	3.3	1.2	0.08	0.08	0.01
DeAngelo Hall	WAS	5.4	0.18	0.95	4	3.6	0.05	0.04	0.09
Earl Thomas	SEA	5.4	0.15	0.29	4.1	2.1	0	0.14	0.12
Antrel Rolle	NYG	5.3	0.11	0.26	4.3	1.9	0	0.06	0.09
Michael Griffin	TEN	5.3	0.18	0.4	4.1	1.7	0	0.03	0.14
Lardarius Webb	BAL	5.3	0.24	0.93	3.4	1.9	0	0.07	0.06
Brandon Browner	SEA	5.3	0.29	1.06	3.1	1.6	0	0.02	0.01
Donte Whitner	SF	5.2	0.12	0.41	3.7	1	0	0.18	0.17
Antoine Bethea	IND	5.2	0.02	0.33	4.5	4	0	0.08	0.19
Cortland Finnegan	STL	5.2	0.15	0.75	3.5	1	0.14	0.1	0.03
Carlos Rogers	SF	5.1	0.32	0.88	2.9	0.8	0	0.02	0.02
Reggie Nelson	CIN	5.1	0.16	0.53	2.9	2.1	0.28	0.01	0.16
Bradley Fletcher	STL	5.1	0.23	0.66	3.7	1	0	0.07	0.02
Dawan Landry	JAC	5	0.04	0.21	4.2	2.1	0.03	0.09	0.1
Jairus Byrd	BUF	5	0.1	0.29	3.4	2	0.07	0.06	0.22
Ryan Clark	PIT	4.9	0.09	0.32	4.2	2.5	0.04	0.03	0.04
Brent Grimes	ATL	4.9	0.16	1.19	3.7	2	0	0.04	0.13
William Moore	ATL	4.9	0.17	0.68	3.5	1.9	0.01	0.04	0.23
Danieal Manning	HOU	4.8	0.14	0.39	3.4	1.5	0.01	0.02	0.02
T.J. Ward	CLE	4.8	0.06	0.44	3.8	2.2	0.06	0.02	0.16
Asante Samuel	ATL	4.7	0.32	0.87	2	1.2	0	0.09	0.13
Patrick Chung	NE	4.7	0.06	0.4	3.7	2.8	0.05	0.05	0.03
Devin McCourty	NE	4.7	0.16	0.66	3.8	2.9	0.02	0.02	0.05
Kam Chancellor	SEA	4.7	0.15	0.42	3.4	1.6	0.08	0.06	0.07
Nate Clements	CIN	4.6	0.1	0.56	2.9	2.1	0.12	0.1	0.18
Chris Hope	ATL	4.6	0.16	0.24	2.8	1.5	0.07	0.22	0.04
Jordan Babineaux	TEN	4.6	0.09	0.38	3.4	1.4	0.06	0.05	0.1
Jerraud Powers	IND	4.6	0.22	0.45	2.8	2.6	0	0.06	0.01
Eric Smith	NYJ	4.5	0.05	0.31	3.5	1.6	0.11	0.06	0.01
Kyle Arrington	NE	4.5	0.2	0.47	3.2	2.5	0	0.07	0.02
Sean Smith	MIA	4.5	0.11	0.55	3.8	1.5	0	0.03	0.02
Captain Munnerlyn	CAR	4.5	0.05	0.4	2.6	1.2	0.22	0.1	0.27
Kurt Coleman	PHI	4.5	0.17	0.28	3.4	1.2	0	0.03	0.09
Kenny Phillips	NYG	4.4	0.18	0.56	3.2	1.5	0	0.04	0.1
Malcolm Jenkins	NO	4.4	0.05	0.52	3.4	1.6	0.1	0.1	0.05
Glover Quin	HOU	4.4	0.04	0.53	3.7	1.6	0	0.13	0.04
Mike Adams	DEN	4.3	0.14	0.32	3.1	1.3	0.02	0.1	0.09
George Wilson	BUF	4.3	0.15	0.29	3.2	1.9	0	0.06	0.14
Antoine Cason	SD	4.3	0.13	0.69	3.5	1.3	0	0.01	0.02
Nate Allen	PHI	4.3	0.14	0.57	3.4	1.3	0.04	0.03	0.02
Champ Bailey	DEN	4.2	0.12	0.8	3.2	1.3	0.02	0.02	0.11
Ed Reed	BAL	4.2	0.18	0.68	3	1.7	0.05	0.02	0.06
Terence Newman	CIN	4.2	0.14	0.56	3	2.3	0	0.06	0.02
