PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Antrel Rolle	NYG	9	0	0	9	0	0	0	0
Antoine Winfield	MIN	8.2	0.09	0.25	6	3.9	0.26	0.04	0.4
Charles Woodson	GB	7.1	0.19	0.84	4.2	1.9	0.29	0.06	0.25
Troy Polamalu	PIT	7	0.16	0.63	5.4	2.5	0.05	0.17	0.05
Roman Harper	NO	6.7	0.03	0.44	3.3	1.6	0.75	0.12	0.28
Morgan Burnett	GB	6.7	0.14	0.61	4.6	2.1	0.11	0.21	0.23
Quintin Mikell	STL	6.3	0.12	0.46	4.4	1.8	0.05	0.17	0.35
DeAngelo Hall	WAS	6.3	0.28	0.6	4.5	3	0.04	0.02	0.09
Eric Weddle	SD	6.2	0.36	0.59	4.3	1.6	0	0.02	0.02
LaRon Landry	NYJ	6.1	0.08	0.4	4.6	2.1	0.1	0.16	0.19
Tyvon Branch	OAK	6	0.1	0.25	4.6	1.9	0.16	0.12	0.04
Charles Godfrey	CAR	5.9	0.2	0.44	4.2	2.1	0.06	0.02	0.25
Charles Tillman	CHI	5.8	0.13	0.55	3.9	1.4	0.05	0.12	0.22
Yeremiah Bell	NYJ	5.8	0.09	0.34	4.2	1.9	0.09	0.11	0.14
Richard Marshall	MIA	5.6	0.12	0.39	4.6	1.7	0.07	0.03	0.05
Jason McCourty	TEN	5.6	0.1	0.59	4.7	2.1	0.04	0.06	0.07
Antoine Bethea	IND	5.5	0.03	0.39	4.6	4.1	0	0.08	0.23
Kerry Rhodes	ARI	5.4	0.09	0.42	3.4	1.1	0.34	0.18	0.01
Jairus Byrd	BUF	5.4	0.14	0.35	3.3	2	0.05	0.09	0.31
Eric Berry	KC	5.4	0.18	0.72	3.6	1.8	0.11	0.01	0.09
Ronde Barber	TB	5.3	0.17	0.51	3.9	1.2	0.08	0.07	0.05
Nate Clements	CIN	5.3	0.07	0.56	3.8	2.1	0.09	0.13	0.2
Marcus Trufant	SEA	5.3	0.2	0.63	3.4	1.6	0	0.14	0.04
Tramon Williams	GB	5.3	0.17	1.08	3.5	1.6	0.03	0.2	0.02
Thomas DeCoud	ATL	5.3	0.12	0.24	4.5	2.5	0	0.01	0.05
Tracy Porter	DEN	5.2	0.05	0.49	4.1	1.6	0	0.2	0.14
Patrick Peterson	ARI	5.2	0.14	0.51	3	0.9	0.1	0.05	0.01
Dawan Landry	JAC	5.1	0.1	0.25	4	2.3	0.02	0.07	0.1
Greg Toler	ARI	5.1	0.09	0.44	3.7	1.2	0.1	0.08	0.16
Bernard Pollard	BAL	5	0.04	0.74	3.6	1.8	0.13	0.03	0.19
Lardarius Webb	BAL	4.9	0.27	1.2	3	1.5	0	0.06	0.04
Matt Giordano	OAK	4.8	0.32	0.26	2.6	1.1	0.08	0.03	0.13
George Wilson	BUF	4.8	0.2	0.37	3.2	1.9	0	0.1	0.17
Dashon Goldson	SF	4.8	0.19	0.34	3.6	1.1	0.02	0.04	0.06
William Moore	ATL	4.8	0.12	0.48	3.8	2	0	0.04	0.16
Earl Thomas	SEA	4.8	0.16	0.33	3.3	1.6	0	0.14	0.11
T.J. Ward	CLE	4.8	0.05	0.41	3.6	2	0.08	0.01	0.21
Michael Griffin	TEN	4.7	0.11	0.36	3.8	1.7	0	0.04	0.11
Reggie Nelson	CIN	4.7	0.08	0.48	3.3	1.9	0.18	0.02	0.15
Brent Grimes	ATL	4.7	0.11	0.98	3.9	2	0	0.03	0.09
Bradley Fletcher	STL	4.7	0.14	0.46	3.8	1.5	0	0.05	0.01
Terence Newman	CIN	4.6	0.08	0.51	3.7	2.1	0	0.1	0.01
Michael Huff	OAK	4.6	0.19	0.34	3	1.2	0.12	0.02	0.14
Eric Wright	TB	4.6	0.16	0.64	3.6	1.2	0	0.02	0.04
Brandon Browner	SEA	4.6	0.29	1.13	2.6	1.3	0	0.01	0.01
Cedric Griffin	WAS	4.5	0.1	0.45	3.7	2.4	0	0.01	0.16
Patrick Chung	NE	4.5	0.1	0.58	3.2	2.1	0.1	0.02	0.01
Kurt Coleman	PHI	4.5	0.25	0.33	3	1.1	0.01	0.03	0.08
Cortland Finnegan	STL	4.4	0.07	0.6	3.4	1.4	0.07	0.09	0.02
Josh Wilson	WAS	4.4	0.16	0.58	3.2	2.2	0	0.04	0.05
Ike Taylor	PIT	4.3	0.11	0.61	3.4	1.6	0.03	0.02	0.06
Donte Whitner	SF	4.3	0.06	0.26	3.4	1	0	0.15	0.1
Johnathan Joseph	HOU	4.3	0.28	0.91	2.5	1.1	0	0.01	0.1
Danieal Manning	HOU	4.3	0.16	0.4	3	1.3	0	0.02	0.01
Darrelle Revis	NYJ	4.3	0.27	1.39	2.2	1	0	0.05	0.01
Malcolm Jenkins	NO	4.3	0.04	0.53	2.9	1.4	0.2	0.14	0.07
Jerraud Powers	IND	4.3	0.14	0.58	3.1	2.6	0	0.05	0.01
Captain Munnerlyn	CAR	4.3	0.07	0.42	2.5	1.3	0.09	0.11	0.31
Devin McCourty	NE	4.3	0.15	0.89	3.3	2.2	0.02	0	0.06
Kam Chancellor	SEA	4.3	0.16	0.47	2.8	1.4	0.08	0.07	0.07
Sherrod Martin	CAR	4.2	0.18	0.4	3	1.5	0	0.04	0.07
Joe Haden	CLE	4.2	0.12	1.06	3	1.6	0.08	0.06	0.11
Nate Allen	PHI	4.2	0.18	0.55	3	1.1	0.06	0.03	0.04
Chris Hope	ATL	4.1	0.11	0.2	2.9	1.6	0.03	0.16	0.03
Jordan Babineaux	TEN	4.1	0.05	0.32	3.3	1.5	0.02	0.06	0.09
Antonio Cromartie	NYJ	4.1	0.36	1	2.1	1	0	0.02	0.06
Aqib Talib	TB	4.1	0.21	0.67	2.4	0.8	0	0.02	0.05
Sean Smith	MIA	4.1	0.06	0.43	3.7	1.4	0	0.03	0.02
Ed Reed	BAL	4	0.23	0.92	2.6	1.3	0.05	0.02	0.06
Reed Doughty	WAS	4	0.05	0.13	3.4	2.2	0.02	0.03	0.09
Antoine Cason	SD	4	0.16	0.84	3	1.1	0	0.02	0.05
Morris Claiborne	DAL	4	0	0	4	0	0	0	0
Asante Samuel	ATL	3.9	0.21	0.68	2.2	1.2	0	0.05	0.1
Justin King	IND	3.9	0.04	0.29	3.2	2.7	0.05	0.02	0.12
Kyle Arrington	NE	3.9	0.22	0.7	2.8	1.9	0	0.03	0.01
