PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	9.6	3.3	1.7	1.6	0.17	0.28	0.09	0.27
Chris Long	STL	7.1	1.9	0.4	1.6	0.05	0.15	0	0.16
Jason Babin	PHI	6.9	2.5	0.5	1.2	0.04	0.35	0	0.12
Robert Mathis	IND	6.5	2	1.5	1.07	0.26	0.3	0	0.08
Jason Pierre-Paul	NYG	6.4	3.5	1.5	0.64	0.07	0.2	0	0.5
Trent Cole	PHI	6.3	3.3	0.8	0.87	0.03	0.14	0	0.16
J.J. Watt	HOU	6.1	3.4	0.7	0.67	0.13	0.02	0.04	0.2
Rob Ninkovich	NE	6	1.9	1.9	0.8	0.23	0.28	0.11	0.28
Connor Barwin	HOU	5.5	2.1	1	0.97	0.02	0.18	0	0.28
Tommy Kelly	OAK	5.4	2	1.3	0.74	0.08	0.34	0.06	0.24
John Abraham	ATL	5.1	2.2	0.9	0.55	0.12	0.42	0.01	0.11
Matt Shaughnessy	OAK	5	2.6	0.7	0.64	0.03	0.14	0	0.04
Julius Peppers	CHI	4.9	2	0.5	0.62	0.08	0.19	0.02	0.18
Osi Umenyiora	NYG	4.9	1.6	1.1	0.66	0.03	0.64	0	0.09
Charles Johnson	CAR	4.9	2.9	1.1	0.65	0.01	0.02	0	0.15
Justin Smith	SF	4.8	3	0.8	0.4	0.06	0.18	0	0.09
Dwight Freeney	IND	4.8	1	0.5	0.99	0.02	0.33	0	0.04
Jabaal Sheard	CLE	4.7	2.6	1.3	0.42	0.04	0.35	0	0.1
Brett Keisel	PIT	4.6	2.4	1.9	0.29	0.2	0.42	0.01	0.52
Calais Campbell	ARI	4.6	2.9	1.5	0.29	0.05	0.16	0.04	0.31
Justin Tuck	NYG	4.5	2.1	1.5	0.48	0.12	0.29	0	0.22
Robert Quinn	STL	4.5	1.3	0.2	0.77	0.03	0.17	0	0.15
Jeremy Mincey	JAC	4.4	2.4	1.1	0.38	0.06	0.29	0.02	0.09
Cliff Avril	DET	4.4	1.4	0.6	0.65	0.1	0.3	0.01	0.13
Chris Clemons	SEA	4.3	2	1.5	0.62	0.02	0.21	0	0.17
Ahtyba Rubin	CLE	4.3	3.5	2.4	0.22	0.02	0.01	0.02	0.04
Haloti Ngata	BAL	4.2	2.4	2.3	0.38	0.13	0.18	0	0.31
Mario Williams	BUF	4.1	1.7	0.5	0.61	0.01	0.26	0	0.14
Mathias Kiwanuka	NYG	4.1	2.7	1.3	0.21	0.08	0.2	0.06	0.09
Carlos Dunlap	CIN	4.1	1	1	0.97	0.09	0.02	0	0.25
Geno Atkins	CIN	4.1	1.3	1.3	0.74	0.11	0.13	0	0.16
