PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jared Allen	MIN	8.8	3.2	1.6	1.4	0.19	0.28	0.06	0.2
Jason Pierre-Paul	NYG	7.9	3.5	1.5	1.16	0.05	0.19	0	0.41
Robert Mathis	IND	6.3	1.8	1.2	1.08	0.29	0.27	0	0.07
Charles Johnson	CAR	6.2	2.4	1	1.24	0.02	0.02	0	0.23
Osi Umenyiora	NYG	6	1.6	1.1	1.15	0.01	0.45	0	0.08
Jason Babin	PHI	6	2.7	0.7	0.89	0.02	0.27	0	0.09
Trent Cole	PHI	5.9	3.8	1.3	0.62	0.02	0.1	0	0.14
John Abraham	ATL	5.8	2.3	0.9	0.81	0.09	0.36	0.02	0.13
Chris Clemons	SEA	5.5	1.8	1.4	1.09	0.01	0.21	0	0.27
Justin Tuck	NYG	5.4	2.1	1.4	0.88	0.08	0.19	0	0.22
Jabaal Sheard	CLE	5.3	2.3	1.2	0.6	0.07	0.52	0	0.11
Cliff Avril	DET	5.2	1.6	0.6	0.77	0.15	0.37	0.03	0.15
Dwight Freeney	IND	4.9	0.9	0.4	1.06	0.03	0.33	0	0.04
Calais Campbell	ARI	4.7	2.9	1.5	0.4	0.03	0.14	0.04	0.3
J.J. Watt	HOU	4.7	2.9	0.7	0.31	0.16	0.02	0.07	0.22
Jeremy Mincey	JAC	4.6	2.1	1	0.52	0.07	0.32	0.04	0.1
Julius Peppers	CHI	4.5	1.8	0.5	0.6	0.07	0.15	0.02	0.32
Haloti Ngata	BAL	4.5	2.3	2.2	0.57	0.08	0.14	0	0.31
Mathias Kiwanuka	NYG	4.5	2.7	1.2	0.38	0.05	0.17	0.03	0.08
Greg Hardy	CAR	4.5	2.1	0.9	0.5	0.02	0.25	0	0.51
Tommy Kelly	OAK	4.3	1.8	1.4	0.33	0.12	0.49	0.05	0.27
Ahtyba Rubin	CLE	4.3	3.2	2.2	0.31	0.02	0.02	0.02	0.03
Paul Kruger	BAL	4.1	1.2	0.6	0.89	0.08	0.02	0	0.1
Kyle Vanden Bosch	DET	4	1.6	0.9	0.56	0.03	0.27	0	0.01
Matt Shaughnessy	OAK	3.9	2.5	0.8	0.28	0.03	0.25	0	0.03
Ndamukong Suh	DET	3.9	1.9	1	0.5	0.02	0.02	0.01	0.08
Adrian Clayborn	TB	3.9	1.9	1.2	0.45	0.02	0.31	0	0.06
Michael Bennett	TB	3.7	2.4	0.4	0.2	0.19	0.09	0	0.02
Jared Odrick	MIA	3.7	1.4	0.2	0.52	0.02	0.27	0.05	0.12
Karl Klug	TEN	3.7	1.1	0.2	0.7	0.01	0.25	0	0.22
Brian Robison	MIN	3.6	1.6	1.3	0.44	0.13	0.16	0	0.05
Jurrell Casey	TEN	3.6	2.3	1.1	0.27	0.08	0.13	0	0.04
Brett Keisel	PIT	3.5	2.2	1.6	0.11	0.13	0.23	0.02	0.4
Dwan Edwards	CAR	3.5	2	1.7	0.41	0.02	0.04	0.02	0.07
Randy Starks	MIA	3.5	2	0.6	0.31	0.05	0.02	0.09	0.2
Connor Barwin	HOU	3.5	1.8	0.9	0.47	0.02	0.12	0	0.32
Lawrence Jackson	DET	3.4	1.5	1.1	0.54	0.08	0.03	0	0.02
Lamarr Houston	OAK	3.4	2.1	1.2	0.1	0.26	0.1	0.04	0.14
Israel Idonije	CHI	3.3	1.9	0.8	0.36	0.07	0.07	0	0.03
Cullen Jenkins	PHI	3.3	2.3	0.7	0.27	0.08	0.01	0	0.02
Mario Williams	BUF	3.3	1.8	0.5	0.33	0.02	0.25	0	0.13
Antonio Garay	SD	3.2	2.4	1.5	0.24	0.02	0.01	0	0.01
Darnell Dockett	ARI	3.2	2	1.1	0.23	0.11	0.1	0	0.04
Ray Edwards	ATL	3.2	1.9	0.8	0.32	0.13	0.02	0	0.12
Phil Taylor	CLE	3.2	2.2	1.9	0.26	0.02	0.11	0	0.04
Bruce Irvin	SEA	3.2	1.3	0.8	0.51	0.08	0.06	0.01	0.1
Darryl Tapp	PHI	3.1	2	0.8	0.21	0.09	0.13	0	0.23
Kevin Williams	MIN	2.9	1.8	1.4	0.3	0.01	0.1	0	0.21
Will Smith	NO	2.9	1.4	0.7	0.4	0.01	0.08	0.01	0.11
Desmond Bryant	OAK	2.9	1.6	0.5	0.21	0.03	0.21	0	0.05
Richard Seymour	OAK	2.8	1.8	0.7	0.25	0.02	0.02	0	0.2
Jason Jones	SEA	2.8	1.3	0.8	0.37	0.02	0.13	0	0.3
Geno Atkins	CIN	2.8	1.4	1.5	0.26	0.13	0.14	0	0.11
Chris Kelsay	BUF	2.7	2	1.5	0.15	0.01	0.08	0	0.12
Cory Redding	IND	2.7	1.6	1.8	0.27	0.08	0.02	0.01	0.09
Frostee Rucker	CLE	2.6	1.9	1	0.2	0.02	0.02	0	0.12
B.J. Raji	GB	2.6	1	0.7	0.47	0.06	0.02	0.01	0.21
Gerald McCoy	TB	2.6	1.7	0.5	0.17	0.03	0.09	0	0.1
Marcell Dareus	BUF	2.6	1.8	0.9	0.2	0.05	0.01	0	0.04
Spencer Johnson	BUF	2.5	1.8	1.2	0.08	0.02	0.06	0.04	0.09
Jay Ratliff	DAL	2.5	1.8	0.8	0.12	0.07	0.03	0	0.14
