PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Stephen Gostkowski	NE	11	2.06	2.43	1.32	0.49	0.24	4.14	4.2
Matt Bryant	ATL	10.1	2.19	2.5	1.38	0.63	0.18	2.99	3.03
Mason Crosby	GB	10	1.81	2.18	1.26	0.42	0.13	4.21	4.28
Garrett Hartley	NO	9.8	1.8	2.06	1.06	0.57	0.17	3.85	3.91
Lawrence Tynes	NYG	8.9	1.83	2.45	1.33	0.37	0.13	3.05	3.1
Nate Kaeding	SD	8.7	1.73	2.04	1.12	0.47	0.14	3.12	3.17
Justin Medlock	CAR	8.7	1.77	2.16	1.23	0.36	0.18	2.83	2.87
Mike Nugent	CIN	8.5	1.96	2.31	1.25	0.53	0.19	2.09	2.12
Rob Bironas	TEN	8.5	1.82	2.04	1.06	0.54	0.22	2.38	2.41
David Akers	SF	8.4	1.77	2.14	1.15	0.46	0.16	2.61	2.65
Shayne Graham	HOU	8.3	1.86	2.22	1.27	0.45	0.14	2.31	2.34
Greg Zuerlein	STL	8.3	1.99	2.43	1.4	0.44	0.14	1.87	1.9
Justin Tucker	BAL	8.3	1.75	2.17	1.13	0.46	0.16	2.51	2.55
Shaun Suisham	PIT	8.2	1.68	2.1	1.13	0.43	0.12	2.81	2.85
Matt Prater	DEN	8.2	1.39	1.72	0.96	0.34	0.1	3.73	3.79
Steve Hauschka	SEA	8.2	1.68	2.03	1.05	0.43	0.2	2.61	2.65
Jay Feely	ARI	8.1	1.81	2.22	1.16	0.46	0.18	2.07	2.1
Robbie Gould	CHI	8.1	1.76	2.15	1.14	0.46	0.17	2.34	2.38
Billy Cundiff	WAS	8	1.79	2.18	1.25	0.42	0.12	2.24	2.27
Alex Henery	PHI	7.5	1.65	1.86	1.01	0.47	0.16	2.05	2.08
Adam Vinatieri	IND	7.4	1.45	1.62	0.84	0.47	0.14	2.68	2.72
Rian Lindell	BUF	7.3	1.57	1.92	0.98	0.42	0.17	2.02	2.05
Ryan Succop	KC	7.2	1.63	1.96	1.09	0.43	0.12	1.91	1.94
Blair Walsh	MIN	7	1.44	1.86	0.97	0.35	0.12	2.33	2.36
Nick Folk	NYJ	6.8	1.37	1.76	0.91	0.34	0.11	2.31	2.35
Josh Scobee	JAC	6.6	1.49	1.71	0.9	0.42	0.16	1.68	1.71
Phil Dawson	CLE	6.4	1.45	1.72	0.86	0.45	0.14	1.65	1.67
Dan Carpenter	MIA	6.2	1.45	1.76	0.93	0.39	0.13	1.45	1.47
John Kasay	NO	0	0	0	0	0	0	0	0
Jason Hanson	DET	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Sebastian Janikowski	OAK	0	0	0	0	0	0	0	0
Neil Rackers	WAS	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
Connor Barth	TB	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Dan Bailey	DAL	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
