PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Mason Crosby	GB	11.9	2.35	2.77	1.56	0.53	0.25	4.08	4.14
Garrett Hartley	NO	9.6	1.81	2.03	1.08	0.56	0.18	3.69	3.75
Nate Kaeding	SD	9.4	1.85	2.17	1.13	0.52	0.2	3.27	3.32
Alex Henery	PHI	9.4	1.99	2.34	1.3	0.52	0.17	2.86	2.9
Dan Bailey	DAL	9.3	2	2.33	1.36	0.49	0.15	2.87	2.92
Justin Tucker	BAL	9.3	2.07	2.5	1.36	0.55	0.16	2.62	2.66
Sebastian Janikowski	OAK	9.2	2.04	2.42	1.33	0.55	0.16	2.63	2.67
Shayne Graham	HOU	9	1.73	2.16	1.18	0.41	0.14	3.4	3.45
Jason Hanson	DET	8.8	1.64	2	1.05	0.44	0.15	3.39	3.44
Justin Medlock	CAR	8.8	1.91	2.3	1.31	0.44	0.17	2.54	2.58
Robbie Gould	CHI	8.7	1.92	2.24	1.24	0.51	0.17	2.44	2.47
Steve Hauschka	SEA	8.7	1.86	2.26	1.19	0.5	0.18	2.56	2.6
Matt Bryant	ATL	8.6	1.62	1.8	0.93	0.54	0.15	3.25	3.3
Matt Prater	DEN	8.5	1.62	2.04	1.16	0.32	0.14	3.18	3.23
Mike Nugent	CIN	8.4	1.84	2.16	1.22	0.48	0.14	2.45	2.48
Billy Cundiff	WAS	8.2	1.61	1.99	1.08	0.39	0.14	3	3.05
Josh Scobee	JAC	8.2	1.89	2.14	1.21	0.52	0.17	1.96	1.99
Lawrence Tynes	NYG	7.8	1.58	2.1	1.1	0.33	0.15	2.6	2.64
Adam Vinatieri	IND	7.7	1.75	2.01	0.99	0.57	0.19	1.95	1.98
Connor Barth	TB	7.7	1.7	1.96	1.03	0.5	0.17	2.05	2.08
Rob Bironas	TEN	7.5	1.64	1.84	0.93	0.54	0.17	2.04	2.08
Dan Carpenter	MIA	7.4	1.78	2.14	1.1	0.51	0.17	1.59	1.61
Shaun Suisham	PIT	7.3	1.66	2.03	1.13	0.41	0.13	1.94	1.97
Rian Lindell	BUF	7	1.42	1.69	0.87	0.38	0.17	2.21	2.24
Ryan Succop	KC	7	1.53	1.88	1.04	0.39	0.09	2.14	2.17
Blair Walsh	MIN	6.7	1.45	1.76	0.95	0.37	0.13	1.91	1.94
Phil Dawson	CLE	6.5	1.46	1.66	0.85	0.44	0.18	1.58	1.61
Jay Feely	ARI	6	1.25	1.51	0.84	0.29	0.12	1.91	1.94
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
David Akers	SF	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Stephen Gostkowski	NE	0	0	0	0	0	0	0	0
Nick Folk	NYJ	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
Greg Zuerlein	STL	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
