PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
James Anderson	CAR	8.5	6.8	3.7	0.08	0.3	0.08	0.08	0.33
Patrick Willis	SF	8.4	5.7	1.9	0.39	0.18	0.38	0.04	0.52
DeMarcus Ware	DAL	8	3.5	0.9	1.22	0.11	0.22	0.01	0.07
James Harrison	PIT	7.9	4.4	2	0.83	0.04	0.38	0.02	0.2
Ray Lewis	BAL	7.8	6.1	2.6	0.14	0.07	0.24	0.09	0.45
James Laurinaitis	STL	7.8	6.1	3	0.3	0.14	0.01	0.07	0.35
Derrick Johnson	KC	7.4	5.9	2.3	0.19	0.09	0.18	0.06	0.52
Tamba Hali	KC	7.4	2.6	1.5	1.17	0.07	0.44	0.02	0.05
Karlos Dansby	MIA	7.2	5.9	1.6	0.15	0.01	0.3	0.05	0.36
Chad Greenway	MIN	6.9	6.4	4	0.1	0.05	0.01	0	0.1
Kevin Burnett	MIA	6.8	5.5	1.8	0.24	0.04	0.06	0.06	0.3
David Harris	NYJ	6.7	4.2	1.9	0.42	0.05	0.02	0.18	0.4
Sean Lee	DAL	6.6	4.5	2.4	0.05	0.08	0.15	0.22	0.28
Donald Butler	SD	6.6	4.4	1.4	0.1	0.16	0.52	0.08	0.13
Sean Weatherspoon	ATL	6.5	5.7	3.2	0.17	0.06	0.01	0	0.23
D.J. Williams	DEN	6.4	4.8	2.2	0.32	0.08	0.17	0.01	0.29
Aldon Smith	SF	6.4	1.8	0.4	1.26	0.07	0.17	0.02	0.18
Brian Urlacher	CHI	6.3	5.4	1.6	0.04	0.13	0.02	0.06	0.28
Jon Beason	CAR	6.3	5.3	2.8	0.04	0.02	0.3	0.04	0.31
LaMarr Woodley	PIT	6.3	2.6	1.8	0.75	0.18	0.1	0.11	0.28
Brian Cushing	HOU	6.3	4.2	2.9	0.35	0.02	0.3	0.05	0.3
Navorro Bowman	SF	6.1	5.1	1.7	0.11	0.18	0.02	0.01	0.26
Calvin Pace	NYJ	6	3.1	1.4	0.6	0.06	0.3	0.06	0.13
Stephen Tulloch	DET	6	4.5	2.3	0.24	0.13	0.04	0.07	0.29
Paul Posluszny	JAC	6	4.5	2.9	0.26	0.04	0.06	0.11	0.36
Rolando McClain	OAK	6	5.2	2.3	0.19	0.02	0.02	0.02	0.71
Lawrence Timmons	PIT	5.9	4.8	2.7	0.13	0.09	0.03	0.06	0.33
Von Miller	DEN	5.9	3	1.1	0.76	0.02	0.27	0	0.23
Colin McCarthy	TEN	5.8	4	1.5	0.03	0.2	0.25	0.1	0.23
Lance Briggs	CHI	5.7	5	1.3	0.02	0.02	0.14	0.05	0.19
Daryl Smith	JAC	5.7	4.1	2	0.28	0.02	0.19	0.05	0.38
Kamerion Wimbley	TEN	5.7	3.4	1.1	0.61	0.02	0.06	0.04	0.13
Pat Angerer	IND	5.7	4.4	4.7	0.08	0.1	0.22	0.05	0.2
Nick Barnett	BUF	5.6	4.3	3.9	0.07	0.02	0.07	0.13	0.24
Jerod Mayo	NE	5.6	4	4.1	0.14	0.06	0.28	0.08	0.29
Jamar Chaney	PHI	5.6	4.4	1.8	0.06	0.03	0.08	0.13	0.38
Luke Kuechly	CAR	5.6	4.5	2.2	0.11	0.08	0.18	0.02	0.15
Anthony Spencer	DAL	5.5	3.4	1.5	0.32	0.03	0.43	0.01	0.05
Curtis Lofton	NO	5.4	4.6	3	0.05	0.06	0.11	0.04	0.39
Justin Houston	KC	5.3	2.5	0.6	0.69	0.11	0.11	0.01	0.22
Cameron Wake	MIA	5.1	2.5	0.6	0.74	0.02	0.12	0	0.24
Brooks Reed	HOU	5.1	1.9	1.2	0.76	0.18	0.16	0.01	0.12
Mason Foster	TB	5.1	3.9	2.2	0.12	0.08	0.09	0.06	0.1
Leroy Hill	SEA	5	3.9	1.8	0.22	0.03	0.15	0.01	0.05
Michael Boley	NYG	5	4.2	1.6	0.08	0.09	0.05	0.04	0.25
Quincy Black	TB	4.9	4.1	1	0.04	0.04	0.13	0.07	0.1
Erin Henderson	MIN	4.9	4	3.4	0.1	0.07	0.18	0	0.1
Justin Durant	DET	4.8	3.7	1.4	0.16	0.11	0.06	0.01	0.07
Brandon Spikes	NE	4.7	3.1	2.3	0.08	0.14	0.18	0.11	0.3
Takeo Spikes	SD	4.6	4	3	0.04	0.03	0.02	0.08	0.28
Will Witherspoon	TEN	4.6	2.7	1.5	0.23	0.12	0.11	0.11	0.22
Shaun Phillips	SD	4.6	2.6	0.9	0.31	0.05	0.02	0.12	0.41
Melvin Ingram	SD	4.6	3.6	1.4	0.09	0.07	0.19	0.01	0.18
Bart Scott	NYJ	4.5	3.1	1.2	0.3	0.08	0.07	0.01	0.09
Donta Hightower	NE	4.5	3.3	2.5	0.16	0.06	0.2	0.03	0.13
Elvis Dumervil	DEN	4.4	1.9	1	0.68	0.08	0.11	0.01	0.05
David Hawthorne	NO	4.4	3.6	2.4	0.05	0.06	0.05	0.06	0.31
Rey Maualuga	CIN	4.4	3.3	3.1	0.02	0.06	0.24	0.07	0.09
Akeem Ayers	TEN	4.4	3.1	1.9	0.27	0.08	0.11	0.01	0.13
DeAndre Levy	DET	4.3	3.6	2.1	0.06	0.02	0.05	0.06	0.1
Dan Connor	DAL	4.2	3.7	1.7	0.04	0.02	0.1	0.01	0.03
Barrett Ruud	NO	4.1	3.5	2.2	0.06	0.01	0.09	0.04	0.32
Rocky McIntosh	STL	4.1	3.4	1.3	0.17	0.02	0.03	0.01	0.08
Keith Rivers	NYG	4.1	3.8	1.6	0.07	0.01	0.01	0.01	0.11
Jo-Lonn Dunbar	STL	4.1	3.4	1.3	0.1	0.03	0.12	0	0.25
Mychal Kendricks	PHI	4.1	3.2	1	0.15	0.06	0.08	0.03	0.14
Zach Brown	TEN	4.1	3.2	1.4	0.13	0.05	0.1	0.03	0.1
Lavonte David	TB	4.1	3.5	1	0.06	0.05	0.06	0.01	0.12
DeMeco Ryans	PHI	4	3.6	1.8	0.03	0.02	0.11	0.01	0.16
Antwan Barnes	SD	4	1.6	0.4	0.5	0.02	0.35	0.01	0.06
Ahmad Brooks	SF	3.9	1.8	0.8	0.6	0.02	0.08	0.01	0.18
Geno Hayes	CHI	3.9	3.2	1.3	0.04	0.01	0.14	0.03	0.13
Brian Rolle	PHI	3.9	3	1	0.05	0.16	0.14	0.01	0.28
