PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
DQwell Jackson	CLE	8.7	6.7	3.3	0.31	0.17	0.08	0.08	0.15
DeMarcus Ware	DAL	8.4	3.5	0.9	1.34	0.09	0.19	0.02	0.07
Patrick Willis	SF	8.4	5.5	2	0.43	0.18	0.36	0.05	0.56
Clay Matthews	GB	8.4	3.5	1.1	1.11	0.04	0.46	0.1	0.43
James Anderson	CAR	8.3	6.6	3.7	0.12	0.26	0.06	0.07	0.35
James Laurinaitis	STL	7.8	6.4	2.3	0.24	0.1	0.01	0.08	0.36
London Fletcher	WAS	7.6	6.3	4	0.07	0.05	0.18	0.11	0.39
Ray Lewis	BAL	7.4	6.2	3.1	0.14	0.03	0.18	0.04	0.37
James Harrison	PIT	6.7	4.6	1.7	0.42	0.03	0.28	0.02	0.13
Aldon Smith	SF	6.6	1.7	0.4	1.47	0.06	0.14	0.01	0.18
David Harris	NYJ	6.5	4.6	2.2	0.19	0.04	0.02	0.17	0.39
Daryl Washington	ARI	6.5	4.6	0.9	0.37	0.01	0.02	0.12	0.28
Chad Greenway	MIN	6.4	5.6	3.6	0.17	0.07	0.02	0.01	0.17
Jon Beason	CAR	6.4	5.5	2.8	0.07	0.02	0.26	0.04	0.34
Brian Cushing	HOU	6.4	4.6	3.2	0.28	0.02	0.27	0.07	0.35
Curtis Lofton	NO	6.3	5	2.7	0.07	0.09	0.23	0.06	0.25
Sean Lee	DAL	6.3	4.4	2.4	0.04	0.05	0.08	0.24	0.29
Rolando McClain	OAK	6.1	5.1	2.2	0.27	0.02	0.02	0.01	0.66
Jerod Mayo	NE	6	4.1	4.1	0.19	0.07	0.4	0.07	0.33
Brian Urlacher	CHI	5.9	5	1.5	0.04	0.12	0.02	0.1	0.36
Stephen Tulloch	DET	5.9	4.6	2.3	0.19	0.14	0.06	0.04	0.24
Lawrence Timmons	PIT	5.8	5	2.3	0.08	0.04	0.05	0.06	0.38
Navorro Bowman	SF	5.8	4.9	1.7	0.15	0.14	0.02	0.01	0.23
Daryl Smith	JAC	5.7	4.3	2.5	0.17	0.03	0.24	0.07	0.35
