PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	29.6	25.7	36.8	0.699	362	3.35	0.9	25	0.22	0.18
Cam Newton	CAR	23.1	19.7	32	0.616	248	1.26	1.03	56	0.82	0.15
Tom Brady	NE	22.6	26.3	34.9	0.753	293	2.73	0.53	8	0.09	0.19
Matthew Stafford	DET	21.8	24.6	39.7	0.619	319	2.78	1.36	5	0.06	0.14
Drew Brees	NO	20.5	26.6	41.1	0.648	303	2.52	0.91	3	0.02	0.14
Michael Vick	PHI	20	19.3	32.8	0.589	242	1.44	0.91	52	0.36	0.49
Peyton Manning	DEN	18	24.6	35.7	0.689	306	1.89	0.8	0	0.02	0.14
Matt Ryan	ATL	18	20.8	33.9	0.614	274	1.85	0.59	7	0.08	0.18
Tony Romo	DAL	17.7	22.2	32.9	0.674	265	2.04	0.6	4	0.04	0.21
Philip Rivers	SD	17.2	21.2	34.7	0.612	271	2.13	0.95	2	0.02	0.29
Andrew Luck	IND	16	24.3	39.2	0.618	273	1.58	1.17	12	0.1	0.33
Robert Griffin III	WAS	15.1	20	36	0.556	230	1.24	1.37	29	0.26	0.44
Josh Freeman	TB	14.5	20.6	34.4	0.599	243	1.14	1.07	20	0.17	0.32
Alex Smith	SF	13.9	17	28.1	0.606	182	1.58	0.7	15	0.1	0.23
Joe Flacco	BAL	13.8	20.5	36.9	0.556	248	1.44	0.64	2	0.01	0.45
Matt Schaub	HOU	13.1	18.8	27.5	0.683	213	1.5	0.63	1	0.01	0.14
Ben Roethlisberger	PIT	13	19.5	33.6	0.581	240	1.2	0.73	6	0.04	0.37
Jay Cutler	CHI	12.6	19.5	34.1	0.57	241	1.03	0.69	8	0.06	0.45
Brandon Weeden	CLE	12.6	19.7	33.9	0.581	248	1.18	1.12	5	0.04	0.26
Andy Dalton	CIN	12.2	18.4	34.5	0.533	219	1.08	0.98	11	0.05	0.18
Ryan Fitzpatrick	BUF	11.7	19.1	32.3	0.59	195	1.25	1.17	14	0.07	0.26
Matt Cassel	KC	11.1	16.6	29.2	0.569	189	0.91	0.68	13	0.08	0.24
Carson Palmer	OAK	10.9	19.4	33.8	0.575	223	0.99	1.18	4	0.04	0.13
Mark Sanchez	NYJ	10.9	14.6	27.8	0.524	177	1.08	0.76	10	0.13	0.39
John Skelton	ARI	10.6	18.9	38.3	0.492	234	1	1.7	10	0.04	0.27
Sam Bradford	STL	9.1	20.3	37.5	0.541	211	0.68	0.81	3	0.03	0.47
Blaine Gabbert	JAC	8.1	15.7	30.1	0.52	184	0.71	0.83	6	0.02	0.63
Ryan Tannehill	MIA	7.9	16	30.4	0.525	163	0.79	1.45	11	0.1	0.33
Tim Tebow	NYJ	3.9	1.1	2.6	0.413	13	0.08	0.06	22	0.21	0.13
Dan Orlovsky	TB	0.6	1	1.6	0.611	12	0.06	0.04	0	0	0.02
Matt Leinart	OAK	0.6	1	1.7	0.597	13	0.05	0.04	0	0	0.02
Nick Foles	PHI	0.6	1	1.7	0.566	12	0.05	0.05	0	0	0.02
Kevin Kolb	ARI	0.5	0.9	1.5	0.562	11	0.06	0.06	0	0	0.02
Chad Henne	JAC	0.3	0.5	1	0.518	6	0.02	0.04	0	0	0.01
Shaun Hill	DET	0.2	0.3	0.5	0.603	3	0.02	0.02	0	0	0
Kyle Orton	DAL	0.2	0.3	0.5	0.618	4	0.01	0.02	0	0	0
Tarvaris Jackson	BUF	0.2	0.5	0.8	0.609	4	0.02	0.02	0	0	0.01
Bruce Gradkowski	CIN	0.2	0.4	1	0.424	5	0.02	0.05	0	0	0
Brady Quinn	KC	0.2	0.3	0.5	0.58	4	0.01	0.01	0	0	0.01
Drew Stanton	IND	0.2	0.3	0.4	0.607	3	0.01	0.01	0	0	0
Matt Moore	MIA	0.2	0.6	1.1	0.554	6	0.03	0.06	0	0	0.02
Chase Daniel	NO	0.2	0.4	0.6	0.682	4	0.03	0.02	0	0	0
Rex Grossman	WAS	0.1	0.2	0.3	0.53	2	0.01	0.01	0	0	0
Jason Campbell	CHI	0.1	0.2	0.3	0.591	2	0.01	0	0	0	0
Derek Anderson	CAR	0.1	0.2	0.3	0.497	2	0.01	0.02	0	0	0
Charlie Whitehurst	SD	0.1	0.3	0.6	0.47	3	0.01	0.01	0	0	0.01
Caleb Hanie	DEN	0.1	0.3	0.5	0.535	3	0.01	0.03	0	0	0
Colt McCoy	CLE	0.1	0.1	0.1	0.572	1	0.01	0	0	0	0
Colin Kaepernick	SF	0.1	0.1	0.1	0.609	1	0.01	0	0	0	0
Ryan Mallett	NE	0.1	0.2	0.3	0.63	2	0.01	0.01	0	0	0
T.J. Yates	HOU	0.1	0.2	0.4	0.622	3	0.01	0.02	0	0	0.01
Tyrod Taylor	BAL	0.1	0.2	0.3	0.673	2	0.01	0	0	0	0
Graham Harrell	GB	0.1	0.1	0.2	0.67	2	0.01	0	0	0	0
Byron Leftwich	PIT	0.1	0.1	0.2	0.631	1	0	0	0	0	0
Austin Davis	STL	0.1	0.3	0.5	0.537	3	0.01	0.01	0	0	0
Luke McCown	ATL	0.1	0.2	0.4	0.526	3	0.01	0.02	0	0	0
Charlie Batch	PIT	0	0	0	0	0	0	0	0	0	0
Matt Hasselbeck	TEN	0	0	0	0	0	0	0	0	0	0
Chris Redman	ATL	0	0	0	0	0	0	0	0	0	0
David Carr	NYG	0	0	0	0	0	0	0	0	0	0
Josh McCown	CHI	0	0	0	0	0	0	0	0	0	0
Seneca Wallace	CLE	0	0	0	0	0	0	0	0	0	0
Eli Manning	NYG	0	0	0	0	0	0	0	0	0	0
Vince Young	BUF	0	0	0	0	0	0	0	0	0	0
Kellen Clemens	STL	0	0	0	0	0	0	0	0	0	0
John Beck	HOU	0	0	0	0	0	0	0	0	0	0
Josh Johnson	SF	0	0	0	0	0	0	0	0	0	0
Matt Flynn	SEA	0	0	0	0	0	0	0	0	0	0
Curtis Painter	BAL	0	0	0	0	0	0	0	0	0	0
Brian Hoyer	NE	0	0	0	0	0	0	0	0	0	0
Mike Kafka	PHI	0	0	0	0	0	0	0	0	0	0
Joe Webb	MIN	0	0	0	0	0	0	0	0	0	0
Jake Locker	TEN	0	0	0	0	0	0	0	0	0	0
Christian Ponder	MIN	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Russell Wilson	SEA	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
