PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	17.5	17.8	83	4.63	0.75	4.3	38	0.21	0.19
LeSean McCoy	PHI	17.1	16.8	84	4.98	0.89	3.9	28	0.15	0.17
Marshawn Lynch	SEA	15.9	16.4	88	5.34	0.87	1.8	16	0.11	0.17
Maurice Jones-Drew	JAC	15.5	20.6	99	4.83	0.45	3.3	22	0.17	0.21
Matt Forte	CHI	15.1	15.4	77	5.01	0.68	2.8	27	0.15	0.16
Ray Rice	BAL	14.8	16.7	71	4.25	0.57	4.5	38	0.15	0.2
C.J. Spiller	BUF	14.5	15.5	77	4.97	0.53	3.6	26	0.16	0.29
Chris Johnson	TEN	14.4	16.8	76	4.54	0.67	3.5	24	0.12	0.16
Adrian Peterson	MIN	14.1	16.3	78	4.79	0.74	2	16	0.09	0.15
Trent Richardson	CLE	13.7	17	70	4.11	0.54	3.1	27	0.17	0.17
DeMarco Murray	DAL	13.6	19.1	80	4.17	0.49	3.1	24	0.12	0.19
Ahmad Bradshaw	NYG	13.1	17.1	64	3.77	0.6	3.5	25	0.15	0.18
Doug Martin	TB	12.7	15	62	4.13	0.5	2.9	28	0.17	0.16
Ryan Mathews	SD	12.6	17.2	63	3.69	0.41	4.3	35	0.14	0.25
Jamaal Charles	KC	12	12	72	5.97	0.4	2.3	21	0.11	0.16
Michael Bush	CHI	11.9	11.3	59	5.24	0.71	1.7	15	0.07	0.11
Darren Sproles	NO	11.8	4.3	27	6.22	0.22	5.1	43	0.33	0.15
Willis McGahee	DEN	11.5	17	77	4.53	0.44	1.4	8	0.13	0.25
Darren McFadden	OAK	11.2	15.4	57	3.74	0.36	3.9	28	0.13	0.18
BenJarvus Green-Ellis	CIN	11.2	14.7	66	4.47	0.65	0.7	7	0.04	0.12
Reggie Bush	MIA	10.9	13.6	61	4.53	0.36	3.2	21	0.11	0.12
Kevin Smith	DET	10.9	9.3	46	4.97	0.36	2.6	24	0.32	0.11
Steven Jackson	STL	10.4	17	61	3.57	0.29	3.7	24	0.1	0.19
Donald Brown	IND	9.9	14.8	56	3.79	0.47	2.2	14	0.07	0.14
Alfred Morris	WAS	9.5	12.7	57	4.48	0.5	0.8	7	0.05	0.11
Shonn Greene	NYJ	9.4	18.1	60	3.33	0.39	1.7	12	0.04	0.17
Knowshon Moreno	DEN	8.8	7.4	32	4.39	0.23	2.3	27	0.29	0.11
Peyton Hillis	KC	8.5	11.3	50	4.39	0.34	1.9	12	0.09	0.12
Pierre Thomas	NO	8.4	6.8	37	5.42	0.32	2.8	22	0.11	0.09
Jonathan Stewart	CAR	8.3	8.8	38	4.3	0.17	3.3	28	0.15	0.1
Stevan Ridley	NE	8.2	16	52	3.25	0.4	1	7	0.02	0.15
Michael Turner	ATL	7.8	13.1	51	3.89	0.38	0.6	5	0.02	0.12
Beanie Wells	ARI	7.8	10.8	51	4.7	0.4	0.6	4	0.02	0.08
DeAngelo Williams	CAR	7.5	9.1	41	4.54	0.32	1.5	12	0.07	0.1
Frank Gore	SF	7.3	13.5	38	2.81	0.33	1.7	13	0.08	0.13
Mark Ingram	NO	7.1	11.6	46	3.94	0.36	1	5	0.02	0.11
Rashad Jennings	JAC	6.9	6.6	36	5.43	0.27	2	15	0.06	0.06
Ryan Williams	ARI	6.8	7.7	36	4.7	0.28	1.4	12	0.08	0.09
Rashard Mendenhall	PIT	6.6	9.7	38	3.89	0.3	1	9	0.06	0.1
Kendall Hunter	SF	5.6	9.3	30	3.26	0.21	1.1	11	0.06	0.09
Jacquizz Rodgers	ATL	5.6	5.2	19	3.72	0.1	1.8	15	0.16	0.1
Ben Tate	HOU	5.5	8	34	4.21	0.21	1	8	0.04	0.11
Isaac Redman	PIT	5.4	7.2	27	3.78	0.13	2.2	14	0.1	0.07
Cedric Benson	GB	5.2	12	34	2.81	0.22	0.8	6	0.03	0.14
Mikel LeShoure	DET	5.1	7.1	29	4.17	0.22	1	7	0.04	0.08
Roy Helu	WAS	4.7	4.9	20	4.03	0.13	2.3	15	0.1	0.07
Bernard Scott	CIN	4.4	7.1	25	3.55	0.19	1	6	0.05	0.08
Robert Turbin	SEA	4.4	4.7	22	4.7	0.17	0.9	9	0.06	0.05
LaRod Stephens-Howling	ARI	4.2	2.2	9	4.06	0.06	1.2	12	0.09	0.06
Toby Gerhart	MIN	4.1	5.7	20	3.54	0.09	1.5	13	0.07	0.08
David Wilson	NYG	4	5.2	22	4.14	0.18	0.7	6	0.02	0.16
Bernard Pierce	BAL	4	4.7	21	4.48	0.19	0.6	6	0.04	0.04
Brandon Jackson	CLE	3.8	3.2	13	4.15	0.1	1.8	14	0.08	0.05
Jonathan Dwyer	PIT	3.8	7.1	26	3.63	0.14	0.6	4	0.03	0.08
Mike Goodson	OAK	3.7	5.3	18	3.48	0.13	1.4	9	0.06	0.08
Jason Snelling	ATL	3.6	3	10	3.28	0.04	2.1	16	0.13	0.04
Evan Royster	WAS	3.6	3.9	21	5.41	0.1	0.9	7	0.04	0.04
Felix Jones	DAL	3.5	4	15	3.68	0.11	0.8	6	0.02	0.11
Daniel Thomas	MIA	3.5	7.2	24	3.33	0.12	0.6	4	0.02	0.07
Marcel Reece	OAK	3.4	2.9	10	3.32	0.04	1.9	19	0.09	0.11
LeGarrette Blount	TB	3.2	4.6	18	3.98	0.14	0.6	6	0.02	0.08
Isaiah Pead	STL	3.1	2.9	12	3.96	0.1	0.4	3	0.01	0.11
Mike Tolbert	CAR	3	0.6	3	4.55	0.04	2.2	17	0.12	0.02
Danny Woodhead	NE	3	3.8	14	3.59	0.09	1	8	0.03	0.06
Vick Ballard	IND	2.9	3.5	15	4.19	0.11	0.6	6	0.04	0.04
Brian Leonard	CIN	2.8	1.5	8	5.43	0.06	1.5	13	0.06	0.02
