PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	23.3	20.7	124	6.03	1.18	3.6	31	0.18	0.22
LeSean McCoy	PHI	17.7	15.5	88	5.65	0.84	4	30	0.21	0.17
Darren McFadden	OAK	17.4	16.5	89	5.43	0.77	3.1	29	0.2	0.19
Ray Rice	BAL	15.2	17.6	79	4.51	0.54	4.3	36	0.14	0.2
Maurice Jones-Drew	JAC	15	19.1	85	4.44	0.48	3.4	28	0.21	0.19
Ryan Mathews	SD	15	18.6	85	4.56	0.57	3.3	28	0.13	0.25
Matt Forte	CHI	13.6	15.6	74	4.77	0.5	3.6	29	0.12	0.19
Marshawn Lynch	SEA	13.1	18.5	71	3.87	0.78	1.6	11	0.08	0.15
BenJarvus Green-Ellis	CIN	13	15.2	73	4.82	0.86	0.7	7	0.03	0.13
Fred Jackson	BUF	12.8	13.5	66	4.88	0.37	3.5	32	0.16	0.13
Chris Johnson	TEN	12	15.8	71	4.51	0.54	2.9	15	0.08	0.18
Trent Richardson	CLE	12	14.4	59	4.1	0.5	3.2	27	0.12	0.15
Adrian Peterson	MIN	11.9	14.8	68	4.62	0.57	1.8	15	0.06	0.14
DeMarco Murray	DAL	11.9	18.5	70	3.79	0.31	3.4	27	0.13	0.22
Darren Sproles	NO	11.7	4.6	27	5.95	0.17	5.4	43	0.36	0.18
Jamaal Charles	KC	11.6	12.4	66	5.3	0.37	2.5	22	0.15	0.18
Reggie Bush	MIA	10.9	13.9	65	4.66	0.35	3.5	20	0.1	0.17
Ahmad Bradshaw	NYG	10.9	17.8	57	3.21	0.46	3	21	0.12	0.19
Willis McGahee	DEN	10.6	15.2	65	4.29	0.42	1.4	9	0.16	0.19
Doug Martin	TB	10.1	14	57	4.07	0.39	2	18	0.1	0.14
Rashad Jennings	JAC	10	8	51	6.33	0.46	2.4	20	0.08	0.1
Michael Turner	ATL	9.9	13.8	59	4.29	0.59	0.6	6	0.02	0.14
Donald Brown	IND	9.7	15.3	58	3.8	0.41	2.1	14	0.05	0.14
Jonathan Stewart	CAR	9.1	9.5	42	4.42	0.26	3.1	27	0.16	0.12
Peyton Hillis	KC	9.1	14.5	56	3.83	0.35	1.9	12	0.09	0.15
Evan Royster	WAS	9.1	8.9	49	5.53	0.39	2	15	0.08	0.09
DeAngelo Williams	CAR	8.9	9.8	49	5.03	0.43	1.4	12	0.07	0.1
Kevin Smith	DET	8.4	8.5	32	3.79	0.3	2.2	21	0.24	0.09
Rashard Mendenhall	PIT	8.2	13.3	47	3.57	0.4	1.1	9	0.06	0.13
Mark Ingram	NO	8.2	12.9	52	4.04	0.38	1.3	6	0.05	0.12
Pierre Thomas	NO	7.9	6.1	33	5.34	0.26	3.1	22	0.14	0.07
Cedric Benson	GB	7.7	14.3	50	3.48	0.38	0.9	6	0.03	0.16
Ben Tate	HOU	7.6	9.6	52	5.38	0.34	0.6	5	0.03	0.16
Michael Bush	CHI	7.4	9	38	4.25	0.3	1.9	16	0.07	0.1
C.J. Spiller	BUF	6.7	5.5	24	4.37	0.14	2.4	20	0.13	0.13
Jacquizz Rodgers	ATL	6.3	5.3	23	4.26	0.18	1.7	15	0.14	0.09
Beanie Wells	ARI	6.1	9.1	39	4.32	0.3	0.6	4	0.02	0.08
Roy Helu	WAS	5.8	6.7	30	4.41	0.21	1.8	11	0.1	0.08
Mike Goodson	OAK	5.6	6.1	27	4.39	0.23	1.5	13	0.07	0.1
Knowshon Moreno	DEN	5.5	3.6	15	4.1	0.08	2.2	23	0.23	0.06
Ryan Williams	ARI	5.5	6.2	28	4.57	0.2	1.3	11	0.07	0.06
Marcel Reece	OAK	4.8	3	13	4.18	0.08	1.9	23	0.14	0.06
Mikel LeShoure	DET	4.8	6.6	27	4.02	0.21	0.8	7	0.06	0.1
Alfred Morris	WAS	4.8	4.7	23	4.94	0.23	0.9	9	0.06	0.05
Toby Gerhart	MIN	4.5	6.2	24	3.77	0.1	1.4	12	0.08	0.07
Bernard Scott	CIN	4.3	7.3	26	3.57	0.18	1	4	0.05	0.06
Jason Snelling	ATL	4.1	3.2	11	3.4	0.07	2.1	17	0.16	0.06
Isaac Redman	PIT	4.1	6.3	24	3.87	0.1	1.1	8	0.07	0.09
LeGarrette Blount	TB	4	6.6	27	4.05	0.14	0.6	6	0.02	0.12
Daniel Thomas	MIA	3.9	7.6	28	3.62	0.12	0.7	4	0.03	0.08
Jahvid Best	DET	3.8	4.7	12	2.46	0.1	2.4	17	0.08	0.06
David Wilson	NYG	3.7	5.4	21	3.83	0.15	0.6	4	0.02	0.11
Robert Turbin	SEA	3.7	5.2	21	4.15	0.18	0.5	4	0.03	0.05
Brandon Jackson	CLE	3.6	4	12	2.86	0.1	1.8	15	0.08	0.05
Brian Leonard	CIN	3.5	1.5	9	5.53	0.05	2.3	18	0.1	0.04
