PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Jimmy Graham	NO	12.4	5.1	73	14.4	0.87	0.04
Rob Gronkowski	NE	11.1	4.5	68	15.1	0.7	0.04
Antonio Gates	SD	10.9	5.1	66	13.2	0.72	0.05
Aaron Hernandez	NE	8.6	4.1	49	12	0.36	0.05
Jason Witten	DAL	7.3	5.5	56	10.1	0.3	0.05
Vernon Davis	SF	7.1	4.4	53	11.9	0.32	0.06
Jermichael Finley	GB	7.1	3.7	44	12	0.45	0.03
Tony Gonzalez	ATL	6.8	4.3	48	11.3	0.34	0.04
Dustin Keller	NYJ	6.2	4.2	47	11.2	0.26	0.04
Jermaine Gresham	CIN	6.2	4.4	45	10.3	0.32	0.07
Heath Miller	PIT	6	3.7	47	12.8	0.22	0.04
Fred Davis	WAS	5.8	3.6	46	12.7	0.22	0.03
Greg Olsen	CAR	5.7	3.6	41	11.3	0.29	0.04
Ed Dickson	BAL	5.7	3	35	11.9	0.37	0.03
Jacob Tamme	DEN	5.6	3.7	40	10.6	0.28	0.03
Dallas Clark	TB	5.5	3.8	41	10.9	0.24	0.03
Brandon Pettigrew	DET	5.3	3.8	42	11.1	0.19	0.03
Coby Fleener	IND	5.1	3.2	36	11	0.27	0.03
Benjamin Watson	CLE	5	3.3	41	12.3	0.16	0.03
Brent Celek	PHI	5	3.3	39	11.8	0.2	0.04
Joel Dreessen	DEN	4.4	2	29	14.6	0.27	0.02
Martellus Bennett	NYG	4.3	3.6	32	8.8	0.18	0.03
Todd Heap	ARI	4.1	2.5	32	12.6	0.15	0.02
Owen Daniels	HOU	4.1	3.1	32	10.6	0.15	0.04
Dennis Pitta	BAL	4.1	2.6	28	10.9	0.23	0.02
Dwayne Allen	IND	4	2.6	29	11	0.2	0.02
Scott Chandler	BUF	3.7	1.8	23	12.4	0.25	0.04
Lance Kendricks	STL	3.7	2.4	29	12	0.16	0.06
Jed Collins	NO	3.5	1.8	20	10.9	0.26	0.02
Tony Moeaki	KC	3.5	2.2	26	11.8	0.15	0.02
