PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Calvin Johnson	DET	16.2	5.9	101	17.1	1.02	0.04
Brandon Marshall	CHI	13.3	6.3	97	15.5	0.61	0.06
Jordy Nelson	GB	12.6	4.7	80	16.8	0.75	0.05
Greg Jennings	GB	12.1	5.3	79	14.9	0.72	0.05
Steve Johnson	BUF	12.1	6.2	86	13.8	0.61	0.07
Julio Jones	ATL	11.9	4.5	79	17.7	0.61	0.04
Demaryius Thomas	DEN	11.3	4.1	77	19	0.6	0.05
Eric Decker	DEN	11.3	4	64	16.2	0.59	0.17
Steve Smith	CAR	10.8	5.8	89	15.3	0.35	0.13
Roddy White	ATL	10.6	5.5	74	13.5	0.55	0.05
Hakeem Nicks	NYG	10.6	4.8	73	15.1	0.57	0.05
Miles Austin	DAL	10.5	4.8	65	13.7	0.63	0.05
Percy Harvin	MIN	10.5	5	58	11.7	0.27	0.08
Andre Johnson	HOU	10.4	5	71	14.3	0.56	0.04
Dez Bryant	DAL	10.3	4.6	65	13.9	0.64	0.15
A.J. Green	CIN	10.3	5.8	80	13.8	0.35	0.06
Lance Moore	NO	10.2	4.2	62	14.5	0.67	0.05
Marques Colston	NO	9.8	5.3	77	14.7	0.38	0.08
Victor Cruz	NYG	9.7	4.1	68	16.5	0.48	0.03
Larry Fitzgerald	ARI	9.6	5.4	78	14.6	0.32	0.05
Pierre Garcon	WAS	9.3	4.1	61	14.7	0.56	0.06
Malcom Floyd	SD	9	3.2	62	19.6	0.48	0.02
Brandon Lloyd	NE	8.9	4.3	63	14.7	0.45	0.05
Jeremy Maclin	PHI	8.7	5.2	66	12.7	0.35	0.04
Anquan Boldin	BAL	8.6	3.6	59	16.3	0.46	0.03
Torrey Smith	BAL	8.6	3.1	58	18.6	0.44	0.02
Vincent Jackson	TB	8.5	4	66	16.5	0.31	0.03
Kenny Britt	TEN	8.3	4.2	71	16.9	0.24	0.09
DeSean Jackson	PHI	8.2	3.9	65	16.8	0.25	0.06
Dwayne Bowe	KC	8	4.3	61	14.3	0.33	0.04
Titus Young	DET	7.7	3.4	45	13.5	0.52	0.03
Santana Moss	WAS	7.1	3.3	48	14.6	0.39	0.04
Wes Welker	NE	6.9	4.2	47	11	0.37	0.04
Randall Cobb	GB	6.9	3	36	12.3	0.11	0.27
James Jones	GB	6.8	2.7	43	16.1	0.44	0.05
Danny Amendola	STL	6.5	4.2	47	11.1	0.2	0.11
Denarius Moore	OAK	6.5	2.7	45	16.9	0.16	0.03
Mike Williams	TB	6.2	3.8	49	12.9	0.24	0.06
Domenik Hixon	NYG	6	2.4	38	15.7	0.33	0.07
Stephen Hill	NYJ	6	2.7	46	17	0.24	0.03
Santonio Holmes	NYJ	5.9	3	45	14.8	0.25	0.05
Darrius Heyward-Bey	OAK	5.5	3.5	45	12.9	0.18	0.04
Dexter McCluster	KC	5.5	3.6	33	9.4	0.21	0.1
Jacoby Ford	OAK	5.5	1.8	27	15.1	0.09	0.29
Michael Crabtree	SF	5.4	3.8	45	11.7	0.16	0.04
Laurent Robinson	JAC	5.3	3	44	14.3	0.17	0.04
Brandon LaFell	CAR	5.3	3	44	15	0.16	0.03
Justin Blackmon	JAC	5.3	3.2	44	13.7	0.17	0.03
Nate Washington	TEN	5.1	2.6	38	14.8	0.21	0.02
