PLAYER	TEAM	FP	REC	RECYD	YPR	RECTD	FUML
Calvin Johnson	DET	15.2	5.7	96	16.8	0.95	0.04
Eric Decker	DEN	12.9	4.8	79	16.3	0.66	0.14
Julio Jones	ATL	12.6	4.6	85	18.4	0.65	0.04
Demaryius Thomas	DEN	12	4.4	85	19.5	0.59	0.06
Miles Austin	DAL	11.6	4.8	74	15.5	0.71	0.05
Dez Bryant	DAL	11.6	4.8	78	16.2	0.65	0.16
Larry Fitzgerald	ARI	11.4	5.6	91	16.2	0.4	0.05
Greg Jennings	GB	11.3	4.5	75	16.4	0.66	0.04
Roddy White	ATL	11.1	5.5	79	14.5	0.55	0.04
A.J. Green	CIN	10.7	5.3	79	15	0.39	0.06
Jordy Nelson	GB	10.6	4.1	70	17.3	0.59	0.05
Jeremy Maclin	PHI	10.1	5	69	13.7	0.54	0.06
Percy Harvin	MIN	10.1	4.7	55	11.7	0.23	0.1
Steve Smith	CAR	9.6	5.4	81	15	0.28	0.16
Marques Colston	NO	9.6	5.7	74	13	0.39	0.05
Torrey Smith	BAL	9.5	3.6	66	18.4	0.47	0.04
Brandon Marshall	CHI	9.4	5.7	73	13	0.36	0.06
Steve Johnson	BUF	9.2	4.5	64	14.4	0.49	0.04
Andre Johnson	HOU	8.9	4.3	62	14.4	0.45	0.04
Hakeem Nicks	NYG	8.8	4.3	62	14.4	0.45	0.04
DeSean Jackson	PHI	8.7	3.7	65	17.6	0.35	0.06
Dwayne Bowe	KC	8.6	4.6	67	14.5	0.34	0.06
Mike Wallace	PIT	8.5	4.3	63	14.7	0.29	0.04
Vincent Jackson	TB	8.4	3.7	65	17.7	0.32	0.03
Antonio Brown	PIT	8.4	4.3	62	14.5	0.24	0.08
Victor Cruz	NYG	8.1	3.9	62	15.9	0.33	0.03
Reggie Wayne	IND	8	5.1	64	12.5	0.29	0.05
Anquan Boldin	BAL	8	3.8	60	15.7	0.35	0.03
Lance Moore	NO	7.6	3.7	45	12	0.51	0.05
Malcom Floyd	SD	7.4	2.7	52	19.2	0.39	0.02
Kenny Britt	TEN	7.4	4.1	61	14.9	0.24	0.11
Pierre Garcon	WAS	7.2	4.6	54	11.7	0.32	0.06
Sidney Rice	SEA	6.9	3.2	48	14.9	0.37	0.05
Denarius Moore	OAK	6.9	2.5	42	16.6	0.16	0.03
Santana Moss	WAS	6.8	4.2	53	12.7	0.24	0.02
Darrius Heyward-Bey	OAK	6.7	3.5	51	14.6	0.27	0.04
Titus Young	DET	6.7	3.4	42	12.3	0.43	0.03
Laurent Robinson	JAC	6.6	3.7	54	14.3	0.22	0.03
Jacoby Ford	OAK	6.6	1.8	29	16	0.13	0.32
Doug Baldwin	SEA	6.5	2.8	47	16.4	0.3	0.02
Justin Blackmon	JAC	6.4	3.9	52	13.3	0.21	0.03
James Jones	GB	6	2.4	39	16.4	0.38	0.04
Domenik Hixon	NYG	5.6	2.4	38	15.9	0.28	0.05
Mike Williams	TB	5.6	3.5	43	12.5	0.24	0.07
Eddie Royal	SD	5.1	2.9	29	10.1	0.19	0.09
David Nelson	BUF	5.1	3.1	38	12.2	0.22	0.03
Vincent Brown	SD	5.1	2	35	17.3	0.28	0.02
Kevin Ogletree	DAL	5	2.9	37	12.6	0.23	0.04
Randall Cobb	GB	5	1.9	27	14.3	0.09	0.2
Davone Bess	MIA	4.9	3.9	36	9.3	0.16	0.27
Austin Collie	IND	4.9	3.8	38	10	0.2	0.04
Kendall Wright	TEN	4.9	2.5	36	14.3	0.2	0.04
Greg Little	CLE	4.7	3.5	40	11.3	0.12	0.03
Brandon LaFell	CAR	4.6	2.7	39	14.5	0.12	0.03
Emmanuel Sanders	PIT	4.6	2.1	28	13.3	0.14	0.07
Devin Hester	CHI	4.5	2	23	12	0.11	0.19
Andre Roberts	ARI	4.4	2.6	33	12.6	0.13	0.06
Brandon Tate	CIN	4.3	1.6	18	11.2	0.07	0.12
Robert Meachem	SD	4.2	1.8	28	16	0.21	0.01
Brian Hartline	MIA	4.2	2.5	35	14.1	0.11	0.02
Nate Burleson	DET	4.1	2.7	27	9.9	0.16	0.04
Nate Washington	TEN	4.1	2.6	30	11.7	0.18	0.02
Earl Bennett	CHI	4.1	2.3	34	14.7	0.13	0.05
Kevin Walter	HOU	4	2	26	13	0.24	0.02
Michael Jenkins	MIN	4	2.6	34	13.1	0.13	0.07
Jerome Simpson	MIN	3.8	2.3	32	13.7	0.12	0.02
Braylon Edwards	SEA	3.7	1.6	25	15.5	0.21	0.02
Donald Driver	GB	3.6	1.7	23	14.1	0.21	0.02
Early Doucet	ARI	3.5	2.1	27	12.9	0.13	0.01
Andre Caldwell	DEN	3.5	1.8	22	12.5	0.22	0.01
Golden Tate	SEA	3.4	1.7	21	12.2	0.2	0.06
Steve Breaston	KC	3.3	2	26	12.5	0.1	0.02
Josh Morgan	WAS	3.3	1.8	27	15.4	0.11	0.02
Mike Thomas	JAC	3.3	2.6	27	10.3	0.09	0.08
Louis Murphy	CAR	3.3	1.9	27	13.7	0.11	0.03
Devery Henderson	NO	3.2	1.9	26	14	0.1	0.02
Mohamed Massaquoi	CLE	3.2	2.3	27	12.2	0.08	0.02
Dexter McCluster	KC	3.2	1.5	14	9.7	0.09	0.12
Lestar Jean	HOU	3.2	1.4	19	14.2	0.21	0.01
Josh Gordon	CLE	3.2	2.2	26	12	0.11	0.02
Jacoby Jones	BAL	3.1	1.2	17	14.5	0.09	0.14
Legedu Naanee	MIA	3.1	2.4	25	10.3	0.11	0.03
Preston Parker	TB	3	1.9	25	13.1	0.11	0.44
Joshua Cribbs	CLE	2.9	1.1	14	12.4	0.04	0.22
Jason Avant	PHI	2.9	2.1	25	11.8	0.08	0.02
Alshon Jeffery	CHI	2.7	1.6	21	12.7	0.1	0.02
Mohamed Sanu	CIN	2.7	1.7	23	13.7	0.08	0.01
Jerricho Cotchery	PIT	2.5	1.4	19	13.2	0.11	0.01
Andrew Hawkins	CIN	2.5	1.8	21	11.6	0.06	0.02
Donald Jones	BUF	2.4	1.9	19	9.7	0.1	0.02
Jon Baldwin	KC	2.4	1.8	21	12	0.04	0.02
Harry Douglas	ATL	2.2	1.2	16	13	0.03	0.07
Damian Williams	TEN	2.1	0.9	9	9.5	0.07	0.08
Leonard Hankerson	WAS	2.1	1.3	17	13.1	0.07	0.02
Ryan Broyles	DET	2.1	1	14	13.6	0.07	0.04
Keshawn Martin	HOU	2.1	0.9	13	14.3	0.13	0.02
Armon Binns	CIN	2.1	1.3	17	12.5	0.07	0.01
T.Y. Hilton	IND	2	1	15	14.5	0.07	0.02
Rueben Randle	NYG	1.9	1	13	13.5	0.09	0.01
Donnie Avery	IND	1.8	1.3	15	11.7	0.06	0.02
Sammie Stroughter	TB	1.8	1	11	10.6	0.06	0.11
Arrelious Benn	TB	1.8	1	14	13.1	0.07	0.01
Ben Obomanu	SEA	1.7	0.8	12	14.2	0.09	0.01
Kealoha Pilares	CAR	1.7	0.2	2	12.3	0.01	0.11
Dwayne Harris	DAL	1.7	0.7	7	10.3	0.06	0.05
Michael Floyd	ARI	1.5	1	13	13.2	0.05	0.01
LaVon Brazill	IND	1.4	0.5	8	14.9	0.03	0.04
Brad Smith	BUF	1.3	0.7	9	12.7	0.03	0.01
Richard Goodman	SD	1.2	0.1	1	12	0	0.02
Brandon Banks	WAS	1.2	0	0	0	0	0.31
T.J. Graham	BUF	1.2	0.8	10	13	0.03	0.01
Travis Benjamin	CLE	1.2	0.7	9	13.7	0.02	0.01
Juron Criner	OAK	1.2	0.8	10	12.2	0.05	0.01
Lavelle Hawkins	TEN	1.1	1.1	9	8.3	0.04	0.02
Trindon Holliday	HOU	1	0	0	0	0	0.05
Eric Weems	CHI	0.9	0	0	0	0	0.04
Cole Beasley	DAL	0.9	0.7	7	9.9	0.05	0
Anthony Armstrong	MIA	0.8	0.2	3	14.6	0.01	0.02
Damaris Johnson	PHI	0.8	0	0	0	0	0.05
Kevin Cone	ATL	0.8	0.5	6	13	0.03	0
Dane Sanzenbacher	CHI	0.7	0.6	6	11.1	0.02	0
Cecil Shorts	JAC	0.6	0.1	1	13.3	0.01	0.04
Deonte Thompson	BAL	0.6	0.2	3	15.3	0.03	0
Armanti Edwards	CAR	0.5	0.2	2	10.9	0	0.05
Riley Cooper	PHI	0.5	0.2	4	15.5	0.02	0
Micheal Spurlock	SD	0.4	0	0	0	0	0.03
Dezmon Briscoe	WAS	0.4	0.3	3	10.7	0.02	0.01
Marlon Moore	MIA	0.4	0.2	3	19	0.01	0
DeVier Posey	HOU	0.4	0.2	3	13.4	0.02	0
Joe Adams	CAR	0.4	0.3	4	13.4	0.01	0.01
Jarius Wright	MIN	0.4	0.1	1	13.8	0	0.01
Brandon Stokley	DEN	0.3	0.2	2	14	0.02	0
Terrance Copper	KC	0.3	0.2	2	11.9	0.01	0
Matt Willis	DEN	0.3	0.1	1	13.9	0.01	0.07
Adrian Arrington	NO	0.3	0.2	2	12.9	0.01	0
Tandon Doss	BAL	0.3	0.2	2	11.8	0.01	0
Darius Reynaud	TEN	0.3	0	0	0	0	0.03
Brian Robiskie	JAC	0.2	0.1	1	11.1	0.01	0
Jerrel Jernigan	NYG	0.2	0.1	1	10.5	0	0.03
LaQuan Williams	BAL	0.2	0.2	2	12.6	0.01	0.08
Nick Toon	NO	0.2	0.1	2	14.5	0.01	0
Patrick Edwards	DET	0.2	0.1	2	11.7	0	0.01
Rod Streater	OAK	0.2	0.1	1	11.5	0.01	0
Devin Aromashodu	MIN	0.1	0.1	1	14.7	0	0
Ramses Barden	NYG	0.1	0.1	1	11.5	0	0
Rishard Matthews	MIA	0.1	0	0	0	0	0.01
Stephen Burton	MIN	0.1	0.1	1	11.9	0	0
Randy Moss	SF	0	0	0	0	0	0
Donte Stallworth	NE	0	0	0	0	0	0
Jabar Gaffney	NE	0	0	0	0	0	0
Deion Branch	NE	0	0	0	0	0	0
Brandon Lloyd	NE	0	0	0	0	0	0
Lee Evans	JAC	0	0	0	0	0	0
Wes Welker	NE	0	0	0	0	0	0
